KONPLAN SAMMENLIG;Finanskonto;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;Navn;Søgenavn;Kontotype;Global dimension 1-kode;Global dimension 2-kode;Kontokategori;Resultatopgørelse/balance;Debet/kredit;Nr. 2;Spærret;Direkte bogføring;Afstembar;Sideskift;Antal tomme linjer;Indrykning;Valutakode;Bogføring af kildevaluta;Værdiregulering af kildevaluta;Urealiseret værdiregulering;Dato/klokkeslæt for seneste ændring;Rettet den;Sammentælling;Konsol. oversættelsesmetode;Kons.debetkonto;Kons.kreditkonto;Bogføringstype;Virksomhedsbogføringsgruppe;Produktbogføringsgruppe;Billede;Automatisk udv. tekster;Skatteområdekode;Skattepligtig;Skattegruppekode;Momsvirksomhedsbogf.gruppe;Momsproduktbogf.gruppe;Valutakursregulering;IC-stand.partners finanskt.nr.;Udelad standardbeskrivelse i kladde;Løbenr. for kontounderkategori;Udeluk fra konsolidering;Omkostningstypenr.;Standardskabelonkode for periodisering;Automatisk redovisningsmall;Standardbæredygtighedskonti;API-kontotype;Gennemse politik
1910;Kontant;KONTANT;Bogføring;;;Aktiver;Balance;Begge;;false;true;true;false;0;3;;;false;false;2026-01-19T15:19:45.107Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;3;false;;;;;Bogføring;Ingen
1920;Postgiro;POSTGIRO;Bogføring;;;Aktiver;Balance;Begge;;false;true;true;false;0;3;;;false;false;2026-01-19T15:19:45.117Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;3;false;;;;;Bogføring;Ingen
1940;Bank, BVA;BANK, BVA;Bogføring;;;Aktiver;Balance;Begge;;false;true;true;false;0;3;;;false;false;2026-01-19T15:19:45.127Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;3;false;;;;;Bogføring;Ingen
1941;Bank valutakonto;BANK VALUTAKONTO;Bogføring;;;Aktiver;Balance;Begge;;false;true;true;false;0;3;;;false;false;2026-01-19T15:19:45.137Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;3;false;;;;;Bogføring;Ingen
1949;Likvida tillgångar totalt;LIKVIDA TILLGÅNGAR TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;2;;;false;false;2026-01-19T15:19:45.147Z;2026-01-19;1900..1949;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;3;false;;;;;Sluttotal;Ingen
1990;Omsättningstillgångar, totalt;OMSÄTTNINGSTILLGÅNGAR, TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;1;;;false;false;2026-01-19T15:19:45.157Z;2026-01-19;1400..1990;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;2;false;;;;;Sluttotal;Ingen
1995;Tillgångar totalt;TILLGÅNGAR TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;1;0;;;false;false;2026-01-19T15:19:45.17Z;2026-01-19;1002..1995;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;1;false;;;;;Sluttotal;Ingen
1999;OBS konto;OBS KONTO;Bogføring;;;Aktiver;Balance;Begge;;false;true;true;false;0;0;;;false;false;2026-01-19T15:19:45.197Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;3;false;;;;;Bogføring;Ingen
2000;Eget kapital och skulder;EGET KAPITAL OCH SKULDER;Starttotal;;;;Balance;Begge;;false;false;false;false;1;0;;;false;false;2026-01-19T15:19:45.217Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;;false;;;;;Starttotal;Ingen
2010;Eget kapital delägare;EGET KAPITAL DELÄGARE;Overskrift;;;Egenkapital;Balance;Begge;;false;false;false;false;1;1;;;false;false;2026-01-19T15:19:45.227Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;14;false;;;;;Overskrift;Ingen
2081;Aktiekapital;AKTIEKAPITAL;Bogføring;;;Egenkapital;Balance;Begge;;false;true;false;false;0;1;;;false;false;2026-01-19T15:19:45.237Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;15;false;;;;;Bogføring;Ingen
